no;block_unique;block;block.pair;cz;population;isoline;treatment;temperature;repr.type;sum;propN_start;propN_F1;fitness;anc_pop
95;I.I_E05_Iz6;I.I;I;I;E05;Iz6;ev24;24C;FOG;201;0.575091575;0.427860697;-0.147230879;I.I_ancFOG6_Iz6
96;I.I_E05_Iz6;I.I;I;I;E05;Iz6;ev24;24C;FOG;278;0.575091575;0.5;-0.075091575;I.I_ancFOG6_Iz6
97;I.II_E06_Iz6;I.II;I;II;E06;Iz6;ev24;24C;FOG;1100;0.413043478;0.193636364;-0.219407115;I.II_ancFOG6_Iz6
98;I.II_E06_Iz6;I.II;I;II;E06;Iz6;ev24;24C;FOG;935;0.413043478;0.198930481;-0.214112997;I.II_ancFOG6_Iz6
99;I.II_E06_Iz6;I.II;I;II;E06;Iz6;ev24;24C;FOG;1440;0.413043478;0.207638889;-0.205404589;I.II_ancFOG6_Iz6
100;I.II_E06_Iz6;I.II;I;II;E06;Iz6;ev24;24C;FOG;1009;0.413043478;0.223984143;-0.189059336;I.II_ancFOG6_Iz6
101;I.I_E06_Iz6;I.I;I;I;E06;Iz6;ev24;24C;FOG;848;0.743703704;0.481132075;-0.262571628;I.I_ancFOG6_Iz6
102;I.I_E06_Iz6;I.I;I;I;E06;Iz6;ev24;24C;FOG;831;0.743703704;0.503008424;-0.24069528;I.I_ancFOG6_Iz6
103;I.I_E06_Iz6;I.I;I;I;E06;Iz6;ev24;24C;FOG;296;0.743703704;0.523648649;-0.220055055;I.I_ancFOG6_Iz6
104;I.I_E06_Iz6;I.I;I;I;E06;Iz6;ev24;24C;FOG;761;0.743703704;0.532194481;-0.211509223;I.I_ancFOG6_Iz6
105;I.II_E08_Iz6;I.II;I;II;E08;Iz6;ev24;24C;FOG;1040;0.426470588;0.188461538;-0.23800905;I.II_ancFOG6_Iz6
106;I.II_E08_Iz6;I.II;I;II;E08;Iz6;ev24;24C;FOG;753;0.426470588;0.209827357;-0.216643231;I.II_ancFOG6_Iz6
107;I.II_E08_Iz6;I.II;I;II;E08;Iz6;ev24;24C;FOG;652;0.426470588;0.25;-0.176470588;I.II_ancFOG6_Iz6
108;I.II_E08_Iz6;I.II;I;II;E08;Iz6;ev24;24C;FOG;1186;0.426470588;0.260539629;-0.165930959;I.II_ancFOG6_Iz6
109;I.I_E08_Iz6;I.I;I;I;E08;Iz6;ev24;24C;FOG;450;0.689873418;0.304444444;-0.385428973;I.I_ancFOG6_Iz6
110;I.I_E08_Iz6;I.I;I;I;E08;Iz6;ev24;24C;FOG;363;0.689873418;0.347107438;-0.34276598;I.I_ancFOG6_Iz6
111;I.I_E08_Iz6;I.I;I;I;E08;Iz6;ev24;24C;FOG;460;0.689873418;0.35;-0.339873418;I.I_ancFOG6_Iz6
112;I.I_E08_Iz6;I.I;I;I;E08;Iz6;ev24;24C;FOG;459;0.689873418;0.368191721;-0.321681697;I.I_ancFOG6_Iz6
113;I.II_E09_Iz6;I.II;I;II;E09;Iz6;ev24;24C;FOG;543;0.524096386;0.314917127;-0.209179258;I.II_ancFOG6_Iz6
114;I.II_E09_Iz6;I.II;I;II;E09;Iz6;ev24;24C;FOG;1499;0.524096386;0.329553035;-0.19454335;I.II_ancFOG6_Iz6
115;I.II_E09_Iz6;I.II;I;II;E09;Iz6;ev24;24C;FOG;1032;0.524096386;0.348837209;-0.175259176;I.II_ancFOG6_Iz6
116;I.II_E09_Iz6;I.II;I;II;E09;Iz6;ev24;24C;FOG;1016;0.524096386;0.375984252;-0.148112134;I.II_ancFOG6_Iz6
117;I.I_E09_Iz6;I.I;I;I;E09;Iz6;ev24;24C;FOG;1005;0.6875;0.445771144;-0.241728856;I.I_ancFOG6_Iz6
118;I.I_E09_Iz6;I.I;I;I;E09;Iz6;ev24;24C;FOG;658;0.6875;0.455927052;-0.231572948;I.I_ancFOG6_Iz6
119;I.I_E09_Iz6;I.I;I;I;E09;Iz6;ev24;24C;FOG;597;0.6875;0.475711893;-0.211788107;I.I_ancFOG6_Iz6
120;I.I_E09_Iz6;I.I;I;I;E09;Iz6;ev24;24C;FOG;860;0.6875;0.481395349;-0.206104651;I.I_ancFOG6_Iz6
121;IV.I_E12_Iz6;IV.I;IV;I;E12;Iz6;ev24;24C;FOG;156;0.697940503;0.506410256;-0.191530247;IV.I_ancFOG6_Iz6
122;IV.I_E12_Iz6;IV.I;IV;I;E12;Iz6;ev24;24C;FOG;368;0.697940503;0.567934783;-0.130005721;IV.I_ancFOG6_Iz6
123;IV.II_E12_Iz6;IV.II;IV;II;E12;Iz6;ev24;24C;FOG;526;0.735955056;0.591254753;-0.144700303;IV.II_ancFOG6_Iz6
124;IV.I_E12_Iz6;IV.I;IV;I;E12;Iz6;ev24;24C;FOG;130;0.697940503;0.592307692;-0.105632811;IV.I_ancFOG6_Iz6
125;IV.I_E12_Iz6;IV.I;IV;I;E12;Iz6;ev24;24C;FOG;740;0.697940503;0.601351351;-0.096589152;IV.I_ancFOG6_Iz6
